Unnamed: 0,position,name,matches,Age,goals,assists,weekly_wages,annual_wages
481,Centre-Back,P. Kalulu,11,25,0,1,60000,3120000
482,Centre-Back,F. Gatti,9,27,1,0,110000,5720000
483,Centre-Back,L. Kelly,11,27,2,1,85000,4420000
484,Left-Back,J. Cabal,3,24,1,0,44000,2288000
485,Centre-Back,D. Rugani,4,31,0,0,65000,3380000
486,Central Midfield,K. Thuram,10,24,1,1,72000,3744000
487,Left Midfield,A. Cambiaso,9,25,0,0,85000,4420000
488,Defensive Midfield,M. Locatelli,10,27,0,0,117000,6084000
489,Attacking Midfield,T. Koopmeiners,10,27,0,0,110000,5720000
490,Central Midfield,W. McKennie,10,27,0,0,60000,3120000
491,Right Midfield,João Mário,9,25,0,1,72000,3744000
492,Attacking Midfield,V. Adžić,5,19,1,0,15000,780000
493,Left Midfield,F. Kostić,5,32,0,1,62000,3224000
494,Left Winger,K. Yıldız,11,20,2,4,57000,2964000
495,Centre-Forward,L. Openda,7,25,0,0,142000,7384000
496,Centre-Forward,J. David,10,25,1,1,215000,11180000
497,Centre-Forward,D. Vlahović,11,25,4,1,430000,22360000
498,Right Winger,F. Conceição,8,22,2,0,135000,7020000
499,Right Winger,E. Zhegrova,3,26,0,0,90000,4680000
501,Centre-Back,M. Gila,8,25,0,0,25000,1300000
502,Left-Back,N. Tavares,7,25,0,0,80000,4160000
503,Centre-Back,A. Romagnoli,6,30,0,0,106000,5512000
504,Centre-Back,O. Provstgaard,4,22,0,0,18000,936000
505,Right-Back,A. Marusic,7,33,0,1,64000,3328000
506,Left-Back,L. Pellegrini,5,26,0,0,46000,2392000
507,Centre-Back,Patric,1,32,0,0,42000,2184000
508,Right-Back,E. Hysaj,3,31,0,0,100000,5200000
509,Central Midfield,M. Guendouzi,6,26,1,0,33000,1716000
510,Defensive Midfield,N. Rovella,4,23,0,1,72000,3744000
511,Defensive Midfield,R. Belahyane,4,21,0,1,32000,1664000
512,Attacking Midfield,F. Dele-Bashiru,4,24,0,0,46000,2392000
513,Defensive Midfield,D. Cataldi,7,31,1,1,54000,2808000
514,Central Midfield,M. Vecino,2,34,0,0,72000,3744000
515,Central Midfield,T. Bašić,4,28,1,1,40000,2080000
516,Centre-Forward,T. Castellanos,6,27,2,3,44000,2288000
517,Left Winger,M. Zaccagni,7,30,2,0,106000,5512000
518,Right Winger,G. Isaksen,4,24,0,0,36000,1872000
519,Centre-Forward,B. Dia,8,28,1,0,50000,2600000
520,Right Winger,T. Noslin,3,26,0,1,46000,2392000
521,Right Winger,M. Cancellieri,6,23,3,0,30000,1560000
522,Right Winger,Pedro,8,38,0,1,55000,2860000
525,Centre-Back,P. Struijk,8,26,0,0,50000,2600000
526,Centre-Back,J. Bijol,2,26,0,0,45000,2340000
527,Right-Back,J. Justin,4,27,0,0,35000,1820000
528,Left-Back,G. Gudmundsson,9,26,0,0,40000,2080000
529,Right-Back,J. Bogle,10,25,1,1,30000,1560000
530,Centre-Back,Joe Rodon,9,28,2,0,40000,2080000
531,Centre-Back,S. Bornauw,1,26,0,0,45000,2340000
532,Left-Back,Sam Byram,2,32,0,0,25000,1300000
533,Defensive Midfield,E. Ampadu,7,25,0,0,40000,2080000
534,Defensive Midfield,A. Stach,9,26,1,1,45000,2340000
535,Central Midfield,S. Longstaff,10,27,1,2,80000,4160000
536,Attacking Midfield,B. Aaronson,10,25,1,0,45000,2340000
537,Central Midfield,Ao Tanaka,7,27,0,0,25000,1300000
538,Defensive Midfield,I. Gruev,6,25,0,0,15000,780000
539,Right Winger,W. Gnonto,5,21,0,1,40000,2080000
540,Centre-Forward,J. Piroe,5,26,0,0,40000,2080000
541,Left Winger,N. Okafor,7,25,2,0,72000,3744000
542,Right Winger,D. James,7,27,0,0,75000,3900000
543,Centre-Forward,D. Calvert-Lewin,8,28,1,0,100000,5200000
544,Left Winger,J. Harrison,9,28,0,0,90000,4680000
545,Centre-Forward,L. Nmecha,10,26,1,0,35000,1820000
548,Centre-Back,C. Lukeba,9,22,1,1,101000,5252000
549,Left-Back,D. Raum,10,27,1,3,145000,7540000
550,Centre-Back,E. Bitshiabu,3,20,0,0,55000,2860000
551,Right-Back,R. Baku,10,27,0,2,72500,3770000
552,Right-Back,K. Nedeljkovic,2,19,0,0,26000,1352000
553,Centre-Back,W. Orbán,10,32,1,2,108000,5616000
554,Centre-Back,L. Klostermann,2,29,0,0,108000,5616000
555,Central Midfield,E. Banzuzi,9,20,2,1,30000,1560000
556,Central Midfield,N. Seiwald,10,24,0,0,65000,3380000
557,Attacking Midfield,A. Maksimovic,4,18,0,0,22000,1144000
558,Attacking Midfield,C. Baumgartner,10,26,7,1,85000,4420000
559,Central Midfield,A. Ouédraogo,9,19,2,3,25000,1300000
560,Central Midfield,X. Schlager,7,28,0,0,75000,3900000
561,Central Midfield,K. Kampl,3,35,0,0,47000,2444000
562,Right Winger,J. Bakayoko,9,22,3,0,62000,3224000
563,Left Winger,A. Nusa,9,20,1,1,43000,2236000
564,Centre-Forward,C. Harder,7,20,0,0,43000,2236000
565,Centre-Forward,Rômulo,9,23,3,3,30000,1560000
566,Left Winger,Y. Diomande,9,18,2,2,15000,780000
567,Left Winger,T. Werner,1,29,0,0,192000,9984000
568,Left Winger,T. Gomis,2,19,0,0,11000,572000
570,Centre-Back,J. Quansah,10,22,1,0,72500,3770000
571,Centre-Back,E. Tapsoba,12,26,2,0,108000,5616000
572,Left-Back,A. Grimaldo,12,30,6,4,137000,7124000
573,Centre-Back,Loïc Badé,10,25,0,0,90000,4680000
574,Centre-Back,J. Belocian,3,20,0,0,30000,1560000
575,Centre-Back,Axel Tape,6,18,0,0,7000,364000
576,Right-Back,Arthur,7,22,1,0,18000,936000
577,Right-Back,L. Vázquez,5,34,0,1,125000,6500000
578,Attacking Midfield,M. Tillman,7,23,2,0,90000,4680000
579,Central Midfield,E. Palacios,2,27,0,0,145000,7540000
580,Defensive Midfield,E. Fernández,8,23,0,0,47000,2444000
581,Central Midfield,A. García,12,28,2,2,100000,5200000
582,Attacking Midfield,C. Echeverri,6,19,0,1,18000,936000
583,Attacking Midfield,I. Maza,10,19,0,0,25000,1300000
584,Defensive Midfield,R. Andrich,10,31,0,0,72500,3770000
585,Attacking Midfield,J. Hofmann,5,33,0,2,83000,4316000
586,Left Winger,E. Ben Seghir,7,20,0,0,61000,3172000
587,Centre-Forward,P. Schick,8,29,4,1,145000,7540000
588,Left Winger,M. Terrier,1,28,1,0,90000,4680000
589,Right Winger,N. Tella,4,26,0,2,65000,3380000
590,Centre-Forward,C. Kofane,12,19,4,3,12000,624000
591,Right Winger,E. Poku,11,21,3,2,18000,936000
594,Centre-Back,Alexsandro,4,26,0,0,42000,2184000
595,Right-Back,T. Santos,4,23,0,1,35000,1820000
596,Centre-Back,N. Ngoy,9,22,0,1,17500,910000
597,Left-Back,R. Perraud,9,28,2,1,45000,2340000
598,Left-Back,C. Verdonk,6,28,0,1,28000,1456000
599,Right-Back,T. Meunier,7,34,0,1,87500,4550000
600,Centre-Back,C. Mbemba,7,31,0,1,53000,2756000
601,Centre-Back,A. Mandi,10,34,0,0,40000,2080000
602,Centre-Back,O. Touré,1,20,0,0,5000,260000
603,Central Midfield,A. Bouaddi,12,18,0,0,21000,1092000
604,Attacking Midfield,H. Haraldsson,11,22,5,1,26000,1352000
605,Defensive Midfield,N. Mukau,8,20,1,0,20000,1040000
606,Defensive Midfield,N. Bentaleb,10,30,1,0,35000,1820000
607,Central Midfield,A. Gomes,1,32,0,0,87500,4550000
608,Central Midfield,E. Mbappé,5,18,2,0,15000,780000
609,Defensive Midfield,B. André,9,35,2,1,87500,4550000
610,Defensive Midfield,U. Raghouber,2,22,0,0,5000,260000
611,Left Winger,M. Fernández-Pardo,12,20,2,4,23000,1196000
612,Left Winger,O. Sahraoui,10,24,1,2,26000,1352000
613,Centre-Forward,H. Igamane,10,22,7,1,25000,1300000
614,Right Winger,M. Broholm,3,20,0,0,17500,910000
615,Left Winger,F. Correia,12,24,2,4,25000,1300000
616,Centre-Forward,O. Giroud,10,39,3,1,52000,2704000
619,Centre-Back,I. Konaté,13,26,1,0,70000,3640000
620,Left-Back,M. Kerkez,13,21,1,0,75000,3900000
621,Right-Back,J. Frimpong,9,24,1,0,100000,5200000
622,Right-Back,C. Bradley,11,22,0,1,75000,3900000
623,Centre-Back,G. Leoni,1,18,0,0,55000,2860000
624,Centre-Back,V. van Dijk,13,34,2,0,350000,18200000
625,Centre-Back,Joe Gomez,5,28,0,0,85000,4420000
626,Left-Back,A. Robertson,8,31,1,1,160000,8320000
627,Attacking Midfield,F. Wirtz,13,22,0,3,200000,10400000
628,Central Midfield,A. Mac Allister,12,26,0,1,150000,7800000
629,Defensive Midfield,R. Gravenberch,9,23,2,2,150000,7800000
630,Attacking Midfield,D. Szoboszlai,13,25,2,4,120000,6240000
631,Central Midfield,C. Jones,12,24,0,0,15000,780000
632,Defensive Midfield,W. Endo,6,32,0,1,50000,2600000
633,Central Midfield,T. Nyoni,1,18,0,0,25000,1300000
634,Centre-Forward,A. Isak,8,26,1,1,280000,14560000
635,Centre-Forward,H. Ekitiké,13,23,6,1,200000,10400000
636,Left Winger,C. Gakpo,13,26,4,3,250000,13000000
637,Right Winger,M. Salah,13,33,4,3,400000,20800000
638,Right Winger,F. Chiesa,9,28,2,3,150000,7800000
639,Left Winger,R. Ngumoha,6,17,1,0,25000,1300000
642,Centre-Back,M. Niakhaté,12,29,0,1,105000,5460000
643,Right-Back,A. Maitland-Niles,12,28,0,2,70000,3640000
644,Left-Back,Abner,6,25,0,0,49000,2548000
645,Left-Back,N. Tagliafico,9,33,0,1,63000,3276000
646,Centre-Back,C. Mata,12,32,0,0,42000,2184000
647,Centre-Back,R. Kluivert,7,24,1,1,21000,1092000
648,Central Midfield,C. Tolisso,11,31,3,0,122000,6344000
649,Defensive Midfield,T. Morton,11,22,1,0,25000,1300000
650,Defensive Midfield,T. Tessmann,12,24,2,0,56000,2912000
651,Attacking Midfield,P. Sulc,12,24,3,2,52500,2730000
652,Attacking Midfield,A. Karabec,12,22,1,2,17500,910000
653,Central Midfield,K. Merah,9,18,0,0,17500,910000
654,Left Winger,M. Fofana,12,20,2,1,52500,2730000
655,Centre-Forward,M. Satriano,7,24,1,1,32000,1664000
656,Centre-Forward,E. Molebe,2,18,0,0,5000,260000
659,Centre-Back,J. Gvardiol,8,23,0,2,200000,10400000
660,Centre-Back,R. Dias,12,28,0,0,250000,13000000
661,Left-Back,R. Aït-Nouri,3,24,0,0,120000,6240000
662,Right-Back,R. Lewis,8,20,0,2,25000,1300000
663,Right-Back,M. Nunes,10,27,1,1,130000,6760000
664,Centre-Back,A. Khusanov,5,21,0,0,50000,2600000
665,Left-Back,N. O'Reilly,11,20,0,2,30000,1560000
666,Centre-Back,J. Stones,8,31,0,0,250000,13000000
667,Centre-Back,N. Aké,7,30,0,0,160000,8320000
668,Defensive Midfield,Rodri,7,29,0,0,220000,11440000
669,Central Midfield,T. Reijnders,13,27,1,3,230000,11960000
670,Defensive Midfield,N. González,12,23,0,0,75000,3900000
671,Attacking Midfield,B. Silva,12,31,1,1,300000,15600000
672,Central Midfield,M. Kovacic,2,31,0,0,150000,7800000
673,Defensive Midfield,K. Phillips,1,29,0,0,150000,7800000
674,Centre-Forward,E. Haaland,12,25,15,1,525000,27300000
675,Right Winger,P. Foden,10,25,2,2,225000,11700000
676,Centre-Forward,O. Marmoush,5,26,0,1,295000,15340000
677,Left Winger,J. Doku,12,23,1,3,50000,2600000
678,Left Winger,Savinho,10,21,1,2,80000,4160000
679,Right Winger,R. Cherki,5,22,1,0,180000,9360000
680,Right Winger,O. Bobb,11,22,0,1,50000,2600000
683,Centre-Back,Leny Yoro,9,19,0,1,115000,5980000
684,Centre-Back,M. de Ligt,10,26,0,0,195000,10140000
685,Right-Back,D. Dalot,8,26,0,1,85000,4420000
686,Right-Back,N. Mazraoui,3,27,0,0,135000,7020000
687,Left-Back,P. Dorgu,9,21,0,1,40000,2080000
688,Centre-Back,H. Maguire,8,32,2,1,190000,9880000
689,Left-Back,Luke Shaw,9,30,0,1,150000,7800000
690,Centre-Back,A. Heaven,3,19,0,1,25000,1300000
691,Centre-Back,T. Fredricson,1,20,0,0,25000,1300000
692,Attacking Midfield,B. Fernandes,10,31,2,1,300000,15600000
693,Central Midfield,K. Mainoo,8,20,0,1,25000,1300000
694,Defensive Midfield,M. Ugarte,9,24,0,0,120000,6240000
695,Attacking Midfield,M. Mount,8,26,1,1,150000,7800000
696,Defensive Midfield,Casemiro,8,33,2,1,350000,18200000
697,Second Striker,M. Cunha,9,26,1,0,180000,9360000
698,Right Winger,B. Mbeumo,10,26,5,1,150000,7800000
699,Centre-Forward,B. Šeško,10,22,2,1,160000,8320000
700,Right Winger,A. Diallo,9,23,0,2,120000,6240000
701,Centre-Forward,J. Zirkzee,5,24,0,0,105000,5460000
704,Centre-Back,F. Medina,4,26,0,0,80000,4160000
705,Centre-Back,L. Balerdi,10,26,0,0,83000,4316000
706,Centre-Back,N. Aguerd,8,29,1,0,94000,4888000
707,Centre-Back,B. Pavard,9,29,1,1,139000,7228000
708,Centre-Back,C. Egan-Riley,5,22,0,0,35000,1820000
709,Left-Back,Emerson,9,31,0,0,70000,3640000
710,Right-Back,A. Murillo,12,29,2,1,55000,2860000
711,Left-Back,U. Garcia,4,29,0,0,40000,2080000
712,Right-Back,P. Lirola,1,28,0,0,31500,1638000
713,Central Midfield,M. O'Riley,9,24,1,1,77000,4004000
714,Defensive Midfield,A. Vermeeren,6,20,0,2,52500,2730000
715,Attacking Midfield,A. Gomes,10,25,1,0,77000,4004000
716,Defensive Midfield,P. Højbjerg,12,30,1,0,105000,5460000
717,Central Midfield,B. Nadir,8,21,0,3,15000,780000
718,Defensive Midfield,G. Kondogbia,3,32,0,0,105000,5460000
719,Attacking Midfield,D. Bakola,4,17,0,0,5000,260000
720,Right Winger,M. Greenwood,12,24,8,4,105000,5460000
721,Left Winger,I. Paixão,9,25,4,2,98000,5096000
722,Centre-Forward,A. Gouiri,7,25,1,1,87500,4550000
723,Left Winger,H. Traoré,1,25,0,0,77000,4004000
724,Right Winger,T. Weah,12,25,1,1,87500,4550000
725,Centre-Forward,R. Vaz,9,18,2,2,9000,468000
726,Centre-Forward,P. Aubameyang,10,36,4,5,87500,4550000
729,Right-Back,Vanderson,6,24,0,1,62000,3224000
730,Centre-Back,T. Kehrer,8,29,0,0,70000,3640000
731,Left-Back,Caio Henrique,10,28,0,0,57000,2964000
732,Centre-Back,C. Mawissa,7,20,0,0,25000,1300000
733,Centre-Back,M. Salisu,6,26,1,0,62000,3224000
734,Right-Back,J. Teze,10,26,1,0,42000,2184000
735,Centre-Back,Eric Dier,8,31,2,0,66000,3432000
736,Left-Back,K. Ouattara,9,21,0,1,17000,884000
737,Defensive Midfield,D. Zakaria,4,28,0,1,90000,4680000
738,Central Midfield,L. Camara,6,21,0,3,25000,1300000
739,Attacking Midfield,A. Golovin,5,29,0,0,85000,4420000
740,Attacking Midfield,S. Idumbo,5,20,0,1,15000,780000
741,Central Midfield,M. Coulibaly,9,21,0,0,11000,572000
742,Defensive Midfield,A. Bamba,6,19,0,0,6500,338000
743,Right Winger,M. Akliouche,11,23,2,1,62000,3224000
744,Centre-Forward,M. Biereth,11,22,1,0,55000,2860000
745,Centre-Forward,F. Balogun,10,24,2,2,62000,3224000
746,Left Winger,T. Minamino,11,30,2,3,85000,4420000
747,Centre-Forward,G. Ilenikhena,10,19,2,0,22000,1144000
748,Left Winger,Ansu Fati,8,22,6,0,50000,2600000
749,Right Winger,K. Diatta,7,26,0,2,57000,2964000
750,Centre-Forward,P. Brunner,3,19,0,0,10000,520000
753,Centre-Back,A. Buongiorno,8,26,0,1,90000,4680000
754,Centre-Back,S. Beukema,8,26,1,0,62000,3224000
755,Left-Back,M. Gutiérrez,6,24,0,0,81000,4212000
756,Left-Back,M. Olivera,9,27,0,0,50000,2600000
757,Centre-Back,A. Rrahmani,2,31,0,0,62000,3224000
758,Right-Back,G. Di Lorenzo,11,32,0,2,106000,5512000
759,Centre-Back,L. Marianucci,1,21,0,0,35000,1820000
760,Left-Back,L. Spinazzola,11,32,1,3,65000,3380000
761,Centre-Back,Juan Jesus,11,34,0,0,35000,1820000
762,Central Midfield,S. McTominay,11,28,4,1,106000,5512000
763,Central Midfield,F. Anguissa,12,29,4,2,66000,3432000
764,Defensive Midfield,S. Lobotka,8,30,0,1,70000,3640000
765,Defensive Midfield,B. Gilmour,11,24,1,0,64000,3328000
766,Attacking Midfield,K. De Bruyne,11,34,4,2,213000,11076000
767,Attacking Midfield,E. Elmas,8,26,0,0,106000,5512000
768,Attacking Midfield,A. Vergara,1,22,0,0,10000,520000
769,Centre-Forward,R. Højlund,7,22,4,0,178000,9256000
770,Centre-Forward,L. Lucca,10,25,1,0,72000,3744000
771,Left Winger,Noa Lang,8,26,0,0,90000,4680000
772,Right Winger,D. Neres,10,28,0,3,106000,5512000
773,Right Winger,M. Politano,12,32,0,1,124000,6448000
774,Centre-Forward,G. Ambrosino,2,22,0,0,18000,936000
777,Centre-Back,S. Botman,11,25,0,0,90000,4680000
778,Right-Back,T. Livramento,8,22,0,1,50000,2600000
779,Left-Back,L. Hall,5,21,0,0,45000,2340000
780,Centre-Back,M. Thiaw,10,24,0,0,75000,3900000
781,Centre-Back,F. Schär,7,33,0,0,70000,3640000
782,Centre-Back,Dan Burn,12,33,0,1,70000,3640000
783,Right-Back,K. Trippier,12,35,0,0,120000,6240000
784,Centre-Back,J. Lascelles,2,31,0,0,40000,2080000
785,Right-Back,E. Krafth,1,31,0,0,55000,2860000
786,Left-Back,A. Murphy,1,21,0,0,8000,416000
787,Central Midfield,B. Guimarães,12,27,3,3,160000,8320000
788,Defensive Midfield,S. Tonali,11,25,0,2,150000,7800000
789,Central Midfield,J. Ramsey,4,24,0,0,120000,6240000
790,Central Midfield,Joelinton,11,29,2,0,150000,7800000
791,Central Midfield,L. Miley,10,19,0,1,30000,1560000
792,Central Midfield,J. Willock,4,26,0,0,80000,4160000
793,Left Winger,A. Gordon,10,24,4,1,150000,7800000
794,Centre-Forward,N. Woltemade,10,23,5,0,132500,6890000
795,Right Winger,A. Elanga,13,23,0,1,100000,5200000
796,Left Winger,H. Barnes,13,27,3,1,80000,4160000
797,Right Winger,J. Murphy,10,30,1,3,35000,1820000
798,Centre-Forward,W. Osula,12,22,3,1,25000,1300000
801,Centre-Back,Murillo,8,23,0,0,75000,3900000
802,Centre-Back,N. Milenković,12,28,0,0,105000,5460000
803,Left-Back,N. Williams,12,24,1,0,65000,3380000
804,Right-Back,Ola Aina,3,29,0,0,60000,3120000
805,Left-Back,O. Zinchenko,6,28,0,0,120000,6240000
806,Centre-Back,Morato,8,24,0,0,35000,1820000
807,Centre-Back,J. Cunha,2,20,0,0,35000,1820000
808,Right-Back,N. Savona,7,22,0,0,45000,2340000
809,Centre-Back,W. Boly,2,34,0,0,40000,2080000
810,Attacking Midfield,M. Gibbs-White,13,25,1,3,110000,5720000
811,Central Midfield,E. Anderson,12,22,0,1,40000,2080000
812,Attacking Midfield,O. Hutchinson,6,21,0,1,55000,2860000
813,Central Midfield,Douglas Luiz,6,27,0,1,135000,7020000
814,Attacking Midfield,J. McAtee,5,23,0,0,40000,2080000
815,Defensive Midfield,I. Sangaré,10,27,0,0,75000,3900000
816,Central Midfield,N. Domínguez,2,27,0,0,35000,1820000
817,Central Midfield,R. Yates,8,27,0,0,50000,2600000
818,Right Winger,Dan Ndoye,11,25,2,1,85000,4420000
819,Right Winger,D. Bakwa,6,23,0,0,70000,3640000
820,Left Winger,C. Hudson-Odoi,13,24,1,0,90000,4680000
821,Centre-Forward,A. Kalimuendo,8,23,0,0,60000,3120000
822,Centre-Forward,Igor Jesus,12,24,5,0,50000,2600000
823,Centre-Forward,T. Awoniyi,2,28,0,0,50000,2600000
824,Centre-Forward,C. Wood,9,33,3,0,90000,4680000
826,Right-Back,A. Hakimi,12,26,2,3,260000,13520000
827,Left-Back,N. Mendes,11,23,3,3,210000,10920000
828,Centre-Back,W. Pacho,10,24,1,0,110000,5720000
829,Centre-Back,I. Zabarnyi,11,23,1,0,100000,5200000
830,Centre-Back,Marquinhos,5,31,1,0,260000,13520000
831,Centre-Back,L. Beraldo,6,21,1,0,80000,4160000
832,Left-Back,L. Hernández,8,29,0,0,260000,13520000
833,Defensive Midfield,Vitinha,12,25,2,6,230000,11960000
834,Central Midfield,J. Neves,4,21,3,0,110000,5720000
835,Central Midfield,W. Zaïre-Emery,13,19,0,1,220000,11440000
836,Central Midfield,F. Ruiz,8,29,1,2,120000,6240000
837,Central Midfield,S. Mayulu,9,19,2,1,30000,1560000
838,Centre-Forward,O. Dembélé,6,28,3,2,350000,18200000
839,Left Winger,K. Kvaratskhelia,10,24,2,2,315000,16380000
840,Right Winger,D. Doué,7,20,3,3,135000,7020000
841,Left Winger,B. Barcola,12,23,4,3,140000,7280000
842,Centre-Forward,G. Ramos,12,24,4,0,120000,6240000
843,Right Winger,K. Lee,12,24,1,0,90000,4680000
844,Right Winger,I. Mbaye,12,17,0,0,15000,780000
846,Right-Back,T. Alexander-Arnold,5,27,0,0,320000,16640000
847,Centre-Back,D. Huijsen,10,20,0,1,172000,8944000
848,Left-Back,Á. Carreras,12,22,0,0,172000,8944000
849,Centre-Back,É. Militão,10,27,1,1,280000,14560000
850,Centre-Back,R. Asencio,8,22,0,0,120000,6240000
851,Left-Back,F. García,4,26,0,0,100000,5200000
852,Centre-Back,A. Rüdiger,1,32,0,0,280000,14560000
853,Right-Back,D. Carvajal,8,33,0,0,200000,10400000
854,Centre-Back,D. Alaba,4,33,0,0,430000,22360000
855,Attacking Midfield,J. Bellingham,8,22,2,1,400000,20800000
856,Central Midfield,F. Valverde,12,27,0,3,320000,16640000
857,Defensive Midfield,A. Tchouaméni,13,25,0,0,240000,12480000
858,Attacking Midfield,A. Güler,13,20,3,5,100000,5200000
859,Central Midfield,E. Camavinga,8,22,1,0,240000,12480000
860,Central Midfield,D. Ceballos,8,29,0,0,200000,10400000
861,Centre-Forward,K. Mbappé,13,26,16,2,600000,31200000
862,Left Winger,Vinicius Junior,13,25,5,4,400000,20800000
863,Right Winger,Rodrygo,10,24,0,2,320000,16640000
864,Right Winger,F. Mastantuono,11,18,1,1,140000,7280000
865,Right Winger,B. Díaz,11,26,1,2,140000,7280000
866,Centre-Forward,G. García,9,21,0,1,32000,1664000
868,Centre-Back,E. Ndicka,11,26,1,0,100000,5200000
869,Right-Back,Wesley,9,22,1,0,72000,3744000
870,Left-Back,Angeliño,5,28,0,0,72000,3744000
871,Left-Back,K. Tsimikas,6,29,0,1,90000,4680000
872,Centre-Back,G. Mancini,11,29,1,0,125000,6500000
873,Right-Back,D. Rensch,7,22,0,0,42000,2184000
874,Centre-Back,M. Hermoso,9,30,0,0,125000,6500000
875,Right-Back,Z. Çelik,10,28,0,1,50000,2600000
876,Centre-Back,J. Ziolkowski,4,20,0,0,25000,1300000
877,Central Midfield,Manu Koné,11,24,0,0,100000,5200000
878,Central Midfield,N. El Aynaoui,9,24,0,0,53000,2756000
879,Central Midfield,N. Pisilli,4,21,0,0,65000,3380000
880,Attacking Midfield,T. Baldanzi,4,22,0,0,40000,2080000
881,Attacking Midfield,L. Pellegrini,7,29,1,1,125000,6500000
882,Defensive Midfield,B. Cristante,10,30,1,0,100000,5200000
883,Right Winger,M. Soulé,11,22,3,2,72000,3744000
884,Centre-Forward,A. Dovbyk,10,28,1,1,106000,5512000
885,Centre-Forward,E. Ferguson,9,21,0,1,65000,3380000
886,Right Winger,L. Bailey,3,28,0,0,125000,6500000
887,Second Striker,P. Dybala,7,31,2,0,250000,13000000
888,Left Winger,S. El Shaarawy,7,33,0,0,90000,4680000
891,Right-Back,J. Aramburu,10,23,0,0,40000,2080000
892,Left-Back,S. Gómez,11,25,0,0,48000,2496000
893,Centre-Back,I. Zubeldia,10,28,0,0,60000,3120000
894,Centre-Back,J. Martín,2,19,0,0,16000,832000
895,Left-Back,A. Muñoz,8,28,0,0,32000,1664000
896,Centre-Back,D. Caleta-Car,9,29,0,0,72000,3744000
897,Centre-Back,A. Elustondo,4,31,0,0,40000,2080000
898,Right-Back,Á. Odriozola,2,29,1,0,51000,2652000
899,Attacking Midfield,B. Méndez,9,28,1,1,100000,5200000
900,Central Midfield,C. Soler,8,28,1,0,80000,4160000
901,Central Midfield,L. Sucic,5,23,0,1,32000,1664000
902,Central Midfield,Y. Herrera,2,27,0,0,80000,4160000
903,Central Midfield,B. Turrientes,7,23,1,0,32000,1664000
904,Attacking Midfield,P. Marín,11,22,0,0,20000,1040000
905,Attacking Midfield,A. Zakharyan,5,22,1,0,25000,1300000
906,Defensive Midfield,J. Gorrotxategi,10,23,0,0,32000,1664000
907,Attacking Midfield,M. Goti,2,23,1,0,4000,208000
908,Right Winger,T. Kubo,8,24,1,0,100000,5200000
909,Centre-Forward,M. Oyarzabal,11,28,4,1,120000,6240000
910,Left Winger,A. Barrenetxea,10,23,1,3,60000,3120000
911,Centre-Forward,O. Óskarsson,3,21,1,0,25000,1300000
912,Left Winger,G. Guedes,10,28,0,1,80000,4160000
913,Centre-Forward,U. Sadiq,3,28,0,0,40000,2080000
914,Centre-Forward,J. Karrikaburu,4,23,0,0,16000,832000
917,Centre-Back,C. Romero,9,27,1,1,195000,10140000
918,Centre-Back,M. van de Ven,13,24,5,0,90000,4680000
919,Left-Back,D. Udogie,8,22,0,0,75000,3900000
920,Right-Back,P. Porro,14,26,0,3,85000,4420000
921,Left-Back,D. Spence,13,25,0,0,40000,2080000
922,Centre-Back,K. Danso,10,27,0,0,65000,3380000
923,Attacking Midfield,X. Simons,10,22,0,1,195000,10140000
924,Central Midfield,L. Bergvall,13,19,1,3,60000,3120000
925,Central Midfield,A. Gray,6,19,0,0,75000,3900000
926,Central Midfield,P. Sarr,12,23,2,2,70000,3640000
927,Defensive Midfield,J. Palhinha,14,30,3,1,135000,7020000
928,Central Midfield,R. Bentancur,13,28,1,1,75000,3900000
929,Right Winger,M. Kudus,13,25,1,5,150000,7800000
930,Centre-Forward,D. Solanke,3,28,0,0,140000,7280000
931,Right Winger,B. Johnson,13,24,3,0,100000,5200000
932,Centre-Forward,M. Tel,9,20,1,0,55000,2860000
933,Centre-Forward,R. Kolo Muani,4,26,0,0,150000,7800000
934,Centre-Forward,Richarlison,14,28,3,2,90000,4680000
935,Left Winger,W. Odobert,11,20,0,1,40000,2080000
938,Centre-Back,M. Sarr,9,20,0,0,42000,2184000
939,Centre-Back,I. Doukouré,11,22,1,1,35000,1820000
940,Right-Back,G. Doué,7,23,1,4,25000,1300000
941,Left-Back,B. Chilwell,4,28,0,0,70000,3640000
942,Centre-Back,L. Høgsberg,10,19,0,0,20000,1040000
943,Centre-Back,A. Omobamidele,9,23,0,0,25000,1300000
944,Left-Back,E. Sobol,1,30,0,0,20000,1040000
945,Attacking Midfield,J. Enciso,4,21,0,0,50000,2600000
946,Left Midfield,D. Moreira,11,21,1,3,25000,1300000
947,Left Midfield,S. Nanasi,4,23,0,0,25000,1300000
948,Central Midfield,V. Barco,13,21,0,2,20000,1040000
949,Attacking Midfield,K. Páez,11,18,1,0,17500,910000
950,Central Midfield,M. Amougou,5,19,0,0,20000,1040000
951,Attacking Midfield,F. Lemaréchal,13,22,0,4,20000,1040000
952,Defensive Midfield,M. Oyedele,1,20,0,0,15000,780000
953,Defensive Midfield,R. Luís,7,20,0,0,15000,780000
954,Defensive Midfield,R. Nzingoula,2,19,0,0,5000,260000
955,Central Midfield,S. El Mourabet,11,20,0,0,8000,416000
956,Centre-Forward,E. Emegha,6,22,4,2,28000,1456000
957,Centre-Forward,J. Panichelli,12,23,9,0,31000,1612000
